alpha,method,commit_rate,hallucination_rate,precision_commit
0.12,cvae_cp,0.888421052631579,0.06947368421052631,0.9218009478672986
0.12,condkde,0.8989473684210526,0.08,0.9110070257611241
0.14,global_lac,0.9663157894736842,0.11789473684210526,0.8779956427015251
0.14,local_lac,0.8968421052631579,0.08,0.9107981220657277
0.14,local_aps,0.2063157894736842,0.0,1.0
0.14,fed_dscp,0.8968421052631579,0.08,0.9107981220657277
0.14,shrink_v2,0.9178947368421052,0.09473684210526316,0.8967889908256881
0.14,cvae_cp,0.9305263157894736,0.09894736842105263,0.8936651583710408
0.14,condkde,0.9368421052631579,0.1031578947368421,0.8898876404494382
0.16,global_lac,0.9894736842105263,0.12421052631578948,0.874468085106383
0.16,local_lac,0.9157894736842105,0.09263157894736843,0.8988505747126436
0.16,local_aps,0.22105263157894736,0.0,1.0
0.16,fed_dscp,0.9157894736842105,0.09263157894736843,0.8988505747126436
0.16,shrink_v2,0.9410526315789474,0.1031578947368421,0.8903803131991052
0.16,cvae_cp,0.9494736842105264,0.10947368421052632,0.88470066518847
0.16,condkde,0.9494736842105264,0.10947368421052632,0.88470066518847
0.18,global_lac,0.9978947368421053,0.12842105263157894,0.8713080168776371
0.18,local_lac,0.9410526315789474,0.10526315789473684,0.8881431767337807
0.18,local_aps,0.25263157894736843,0.0,1.0
0.18,fed_dscp,0.9410526315789474,0.10526315789473684,0.8881431767337807
0.18,shrink_v2,0.9663157894736842,0.11578947368421053,0.8801742919389978
0.18,cvae_cp,0.9621052631578947,0.11368421052631579,0.8818380743982495
0.18,condkde,0.9621052631578947,0.11368421052631579,0.8818380743982495
0.2,global_lac,1.0,0.13052631578947368,0.8694736842105263
0.2,local_lac,0.9536842105263158,0.11157894736842106,0.8830022075055187
0.2,local_aps,0.25684210526315787,0.0,1.0
0.2,fed_dscp,0.9536842105263158,0.11157894736842106,0.8830022075055187
0.2,shrink_v2,0.9768421052631578,0.12,0.8771551724137931
0.2,cvae_cp,0.968421052631579,0.11578947368421053,0.8804347826086957
0.2,condkde,0.968421052631579,0.11578947368421053,0.8804347826086957
0.22,global_lac,1.0,0.13052631578947368,0.8694736842105263
0.22,local_lac,0.9726315789473684,0.11578947368421053,0.8809523809523809
0.22,local_aps,0.2673684210526316,0.0,1.0
0.22,fed_dscp,0.9726315789473684,0.11578947368421053,0.8809523809523809
0.22,shrink_v2,0.9852631578947368,0.12210526315789473,0.8760683760683761
0.22,cvae_cp,0.9831578947368421,0.12,0.8779443254817987
0.22,condkde,0.9831578947368421,0.12,0.8779443254817987
0.24,global_lac,1.0,0.13052631578947368,0.8694736842105263
0.24,local_lac,0.9789473684210527,0.12,0.8774193548387097
0.24,local_aps,0.2694736842105263,0.0,1.0
0.24,fed_dscp,0.9789473684210527,0.12,0.8774193548387097
0.24,shrink_v2,0.9936842105263158,0.12631578947368421,0.8728813559322034
0.24,cvae_cp,0.9894736842105263,0.12631578947368421,0.8723404255319149
0.24,condkde,0.9873684210526316,0.12421052631578948,0.8742004264392325
0.26,global_lac,1.0,0.13052631578947368,0.8694736842105263
0.26,local_lac,0.9852631578947368,0.12210526315789473,0.8760683760683761
0.26,local_aps,0.2968421052631579,0.0,1.0
0.26,fed_dscp,0.9852631578947368,0.12210526315789473,0.8760683760683761
0.26,shrink_v2,0.9957894736842106,0.12631578947368421,0.8731501057082452
0.26,cvae_cp,0.991578947368421,0.12631578947368421,0.8726114649681529
0.26,condkde,0.991578947368421,0.12631578947368421,0.8726114649681529
0.28,global_lac,1.0,0.13052631578947368,0.8694736842105263
0.28,local_lac,0.9936842105263158,0.12631578947368421,0.8728813559322034
0.28,local_aps,0.32842105263157895,0.0,1.0
0.28,fed_dscp,0.9936842105263158,0.12631578947368421,0.8728813559322034
0.28,shrink_v2,1.0,0.13052631578947368,0.8694736842105263
0.28,cvae_cp,0.9957894736842106,0.12631578947368421,0.8731501057082452
0.28,condkde,0.9957894736842106,0.12631578947368421,0.8731501057082452
